Stock,Sector
360ONE,Financial Services
3MINDIA,Diversified
ABB,Capital Goods
ACC,Construction Materials
ACMESOLAR,Power
AIAENG,Capital Goods
APLAPOLLO,Capital Goods
AUBANK,Financial Services
AWL,Fast Moving Consumer Goods
AADHARHFC,Financial Services
AARTIIND,Chemicals
AAVAS,Financial Services
ABBOTINDIA,Healthcare
ACE,Capital Goods
ADANIENSOL,Power
ADANIENT,Metals & Mining
ADANIGREEN,Power
ADANIPORTS,Services
ADANIPOWER,Power
ATGL,Oil Gas & Consumable Fuels
ABCAPITAL,Financial Services
ABFRL,Consumer Services
ABREL,Forest Materials
ABSLAMC,Financial Services
AEGISLOG,Oil Gas & Consumable Fuels
AFCONS,Construction
AFFLE,Information Technology
AJANTPHARM,Healthcare
AKUMS,Healthcare
APLLTD,Healthcare
ALIVUS,Healthcare
ALKEM,Healthcare
ALKYLAMINE,Chemicals
ALOKINDS,Textiles
ARE&M,Automobile and Auto Components
AMBER,Consumer Durables
AMBUJACEM,Construction Materials
ANANDRATHI,Financial Services
ANANTRAJ,Realty
ANGELONE,Financial Services
APARINDS,Capital Goods
APOLLOHOSP,Healthcare
APOLLOTYRE,Automobile and Auto Components
APTUS,Financial Services
ASAHIINDIA,Automobile and Auto Components
ASHOKLEY,Capital Goods
ASIANPAINT,Consumer Durables
ASTERDM,Healthcare
ASTRAZEN,Healthcare
ASTRAL,Capital Goods
ATUL,Chemicals
AUROPHARMA,Healthcare
AIIL,Financial Services
DMART,Consumer Services
AXISBANK,Financial Services
BASF,Chemicals
BEML,Capital Goods
BLS,Consumer Services
BSE,Financial Services
BAJAJ-AUTO,Automobile and Auto Components
BAJFINANCE,Financial Services
BAJAJFINSV,Financial Services
BAJAJHLDNG,Financial Services
BAJAJHFL,Financial Services
BALKRISIND,Automobile and Auto Components
BALRAMCHIN,Fast Moving Consumer Goods
BANDHANBNK,Financial Services
BANKBARODA,Financial Services
BANKINDIA,Financial Services
MAHABANK,Financial Services
BATAINDIA,Consumer Durables
BAYERCROP,Chemicals
BERGEPAINT,Consumer Durables
BDL,Capital Goods
BEL,Capital Goods
BHARATFORG,Automobile and Auto Components
BHEL,Capital Goods
BPCL,Oil Gas & Consumable Fuels
BHARTIARTL,Telecommunication
BHARTIHEXA,Telecommunication
BIKAJI,Fast Moving Consumer Goods
BIOCON,Healthcare
BSOFT,Information Technology
BLUEDART,Services
BLUESTARCO,Consumer Durables
BBTC,Fast Moving Consumer Goods
BOSCHLTD,Automobile and Auto Components
FIRSTCRY,Consumer Services
BRIGADE,Realty
BRITANNIA,Fast Moving Consumer Goods
MAPMYINDIA,Information Technology
CCL,Fast Moving Consumer Goods
CESC,Power
CGPOWER,Capital Goods
CRISIL,Financial Services
CAMPUS,Consumer Durables
CANFINHOME,Financial Services
CANBK,Financial Services
CAPLIPOINT,Healthcare
CGCL,Financial Services
CARBORUNIV,Capital Goods
CASTROLIND,Oil Gas & Consumable Fuels
CEATLTD,Automobile and Auto Components
CENTRALBK,Financial Services
CDSL,Financial Services
CENTURYPLY,Consumer Durables
CERA,Consumer Durables
CHALET,Consumer Services
CHAMBLFERT,Chemicals
CHENNPETRO,Oil Gas & Consumable Fuels
CHOLAHLDNG,Financial Services
CHOLAFIN,Financial Services
CIPLA,Healthcare
CUB,Financial Services
CLEAN,Chemicals
COALINDIA,Oil Gas & Consumable Fuels
COCHINSHIP,Capital Goods
COFORGE,Information Technology
COLPAL,Fast Moving Consumer Goods
CAMS,Financial Services
CONCORDBIO,Healthcare
CONCOR,Services
COROMANDEL,Chemicals
CRAFTSMAN,Automobile and Auto Components
CREDITACC,Financial Services
CROMPTON,Consumer Durables
CUMMINSIND,Capital Goods
CYIENT,Information Technology
DCMSHRIRAM,Diversified
DLF,Realty
DOMS,Fast Moving Consumer Goods
DABUR,Fast Moving Consumer Goods
DALBHARAT,Construction Materials
DATAPATTNS,Capital Goods
DEEPAKFERT,Chemicals
DEEPAKNTR,Chemicals
DELHIVERY,Services
DEVYANI,Consumer Services
DIVISLAB,Healthcare
DIXON,Consumer Durables
LALPATHLAB,Healthcare
DRREDDY,Healthcare
DUMMYSIEMS,Capital Goods
EIDPARRY,Fast Moving Consumer Goods
EIHOTEL,Consumer Services
EICHERMOT,Automobile and Auto Components
ELECON,Capital Goods
ELGIEQUIP,Capital Goods
EMAMILTD,Fast Moving Consumer Goods
EMCURE,Healthcare
ENDURANCE,Automobile and Auto Components
ENGINERSIN,Construction
ERIS,Healthcare
ESCORTS,Capital Goods
ETERNAL,Consumer Services
EXIDEIND,Automobile and Auto Components
NYKAA,Consumer Services
FEDERALBNK,Financial Services
FACT,Chemicals
FINCABLES,Capital Goods
FINPIPE,Capital Goods
FSL,Services
FIVESTAR,Financial Services
FORTIS,Healthcare
GAIL,Oil Gas & Consumable Fuels
GVT&D,Capital Goods
